Year,Month,Temperature,Precipitation
1930,10,11.2,48.9
1930,11,7.9,92.3
1930,12,3.9,30.8
1931,1,2,22
1931,2,2.5,145.7
1931,3,5.4,45.5
1931,4,9.3,61.1
1931,5,15.2,198.2
1931,6,21.1,98.1
1931,7,20.5,170.8
1931,8,19,245.8
1931,9,14.1,109.8
1931,10,11.5,160.1
1931,11,7.8,208.7
1931,12,2.7,12.7
1932,1,3.1,21.1
1932,2,-0.2,10.6
1932,3,4.8,64.2
1932,4,8.8,139.8
1932,5,13.9,483.1
1932,6,17.4,266.5
1932,7,19.3,270.8
1932,8,22,98.8
1932,9,18.9,296.1
1932,10,11.1,92.7
1932,11,7.9,57.7
1932,12,4.8,114.1
1933,1,1.9,89.4
1933,2,2.7,3.6
1933,3,7.2,103
1933,4,11.8,89.7
1933,5,14.7,109.1
1933,6,16,238.1
1933,7,21.5,60.1
1933,8,21.4,99.9
1933,9,17.3,171.3
1933,10,12.3,239.7
1933,11,5.4,212.8
1933,12,1.5,73.8
1934,1,2.1,17.6
1934,2,4.5,31.7
1934,3,6.6,192.1
1934,4,11.4,255
1934,5,16.6,165.2
1934,6,18.4,127.8
1934,7,21.9,236.8
1934,8,18.6,384.2
1934,9,18,38.5
1934,10,11,107.9
1934,11,5.9,336.3
1934,12,5,100.9
1935,1,1.4,10.9
1935,2,4.4,116.7
1935,3,7,2.2
1935,4,10.2,93.2
1935,5,12.3,247.5
1935,6,20.1,122.9
1935,7,21.9,89.7
1935,8,19.4,206.4
1935,9,16.9,76.8
1935,10,12.6,330.8
1935,11,8.1,267.9
1935,12,2.4,233.7
1936,1,3.7,120.4
1936,2,3.3,90.9
1936,3,8.1,154.3
1936,4,10.5,249.6
1936,5,15.2,243.1
1936,6,18.2,206.2
1936,7,20,226.1
1936,8,20.2,51.1
1936,9,16.5,192.3
1936,10,9.3,14.3
1936,11,6.4,89.5
1936,12,4,58
1937,1,2,45.6
1937,2,5.4,90.7
1937,3,5.6,265.4
1937,4,11.4,105
1937,5,15.9,172.4
1937,6,19.4,183.6
1937,7,21.2,270.6
1937,8,20.5,81.8
1937,9,16.4,209.6
1937,10,12,313.3
1937,11,7.1,131.2
1937,12,2.4,68.8
1938,1,1.5,15.7
1938,2,3.5,23.8
1938,3,9.9,9.9
1938,4,10.1,48.4
1938,5,13,237.3
1938,6,20.3,245.8
1938,7,20.9,176.1
1938,8,19.6,294.7
1938,9,16.3,168.6
1938,10,12,147.3
1938,11,8.2,139.6
1938,12,2.7,100.9
1939,1,2.8,182.4
1939,2,4.8,78.4
1939,3,5.4,3.6
1939,4,11.6,238.7
1939,5,12.4,282.4
1939,6,18.3,301.4
1939,7,19.9,222
1939,8,19.5,331.5
1939,9,16.4,139.4
1939,10,11.4,105.4
1939,11,8.5,124.9
1939,12,2.8,78.3
1940,1,0.4,4.1
1940,2,3.1,13.1
1940,3,6.9,67.9
1940,4,11.3,129.9
1940,5,15.4,142
1940,6,17.2,265.3
1940,7,19.3,334
1940,8,20,35.2
1940,9,17.5,68.4
1940,10,11.8,179.5
1940,11,8.6,136.3
1940,12,0.8,1.5
1941,1,1.6,122.1
1941,2,3,91.8
1941,3,7.4,194.7
1941,4,9.8,256.4
1941,5,12.1,299
1941,6,18.9,241.6
1941,7,21,171.3
1941,8,19.3,27.9
1941,9,16.8,81.6
1941,10,11.7,48.1
1941,11,6.1,153.4
1941,12,3.9,0.7
1942,1,0.1,14.7
1942,2,2.3,48.9
1942,3,8.2,73.4
1942,4,10.9,117
1942,5,15.3,88.2
1942,6,19.3,138.2
1942,7,21.2,138.3
1942,8,20.4,117.9
1942,9,18.9,220.8
1942,10,14.6,192.2
1942,11,7.1,34.6
1942,12,4.1,123.7
1943,1,2.1,35.7
1943,2,5.6,18.9
1943,3,8.7,63.5
1943,4,13.5,61.3
1943,5,16.2,202.9
1943,6,19.4,55.6
1943,7,20.9,130.1
1943,8,22.4,53.1
1943,9,18.2,259.1
1943,10,13.5,97
1943,11,6.8,42.5
1943,12,5,89.2
1944,1,3.1,0
1944,2,3.1,45.3
1944,3,7.1,0.1
1944,4,12.6,51.5
1944,5,15.3,137.8
1944,6,18.5,99.5
1944,7,20.7,292.3
1944,8,21.5,70
1944,9,16.4,93.6
1944,10,11,351
1944,11,5.8,39.5
1944,12,2.7,36.6
1945,1,-0.7,73.4
1945,2,3.9,2.3
1945,3,10.2,86.4
1945,4,13.7,71.4
1945,5,16.5,198.5
1945,6,21.2,28.6
1945,7,24.1,36
1945,8,19.8,261.4
1945,9,17.7,106.3
1945,10,12.7,185.2
1945,11,6.8,54.1
1945,12,4.5,165.6
1946,1,1.4,127.8
1946,2,6.3,12.6
1946,3,7.9,144
1946,4,12.9,73.6
1946,5,14,338.5
1946,6,17.3,260.9
1946,7,22,108
1946,8,20,308
1946,9,18.2,80.8
1946,10,11.6,60.2
1946,11,6.6,73.1
1946,12,2.4,15.7
1947,1,-0.5,11.9
1947,2,1.7,141.2
1947,3,6.4,248.2
1947,4,13.1,38.8
1947,5,16.8,107.1
1947,6,20.6,106.3
1947,7,22.7,117.3
1947,8,22.1,131.2
1947,9,18.9,240.9
1947,10,12.8,71.5
1947,11,8.2,57.8
1947,12,3.7,80.7
1948,1,3.6,157.4
1948,2,4.8,18.9
1948,3,11.1,5.4
1948,4,12,147.2
1948,5,15.1,302.3
1948,6,18.9,131.7
1948,7,19.6,125.7
1948,8,20.1,412.8
1948,9,17.7,117.3
1948,10,13.5,155.6
1948,11,8.5,3.7
1948,12,3.6,24.4
1949,1,3.9,110.9
1949,2,4.9,0
1949,3,6.3,20.9
1949,4,14.2,166.5
1949,5,14.3,267.3
1949,6,20,31.1
1949,7,22.1,136
1949,8,21.5,124.4
1949,9,19.1,56.4
1949,10,14.6,54.7
1949,11,7.7,185.3
1949,12,4.1,54.5
1950,1,2.3,31.4
1950,2,4.5,114.9
1950,3,9.3,27.1
1950,4,10.2,212.8
1950,5,16,131.8
1950,6,20.9,155.2
1950,7,23.6,137.8
1950,8,20.8,250.6
1950,9,16.5,203.4
1950,10,12.8,5.2
1950,11,6.9,209.1
1950,12,3,130
1951,1,3.8,134.9
1951,2,3.6,273.3
1951,3,5.7,144
1951,4,11,130.6
1951,5,13.6,156.4
1951,6,18.4,234.9
1951,7,21,77
1951,8,19.7,247.6
1951,9,18.5,119.2
1951,10,11,192.2
1951,11,8.3,482.8
1951,12,4,31.4
1952,1,1.7,30.4
1952,2,3.4,7.6
1952,3,7.5,51.5
1952,4,12.1,276.1
